,Sex,AgeGroup,Year,State,DeathCount
209,Male,60-64,2001,W.P. Labuan,5.0
210,Male,65-69,2001,Johor,692.0
211,Male,65-69,2001,Kedah,611.0
212,Male,65-69,2001,Kelantan,357.0
213,Male,65-69,2001,Melaka,220.0
214,Male,65-69,2001,Negeri Sembilan,285.0
215,Male,65-69,2001,Pulau Pinang,485.0
216,Male,65-69,2001,Pahang,312.0
217,Male,65-69,2001,Perak,961.0
218,Male,65-69,2001,Perlis,79.0
219,Male,65-69,2001,Sabah,0.0
220,Male,65-69,2001,Sarawak,552.0
221,Male,65-69,2001,Selangor,773.0
222,Male,65-69,2001,Terengganu,226.0
223,Male,65-69,2001,W.P. Kuala Lumpur,326.0
224,Male,65-69,2001,W.P. Labuan,6.0
225,Male,70-74,2001,Johor,766.0
226,Male,70-74,2001,Kedah,629.0
227,Male,70-74,2001,Kelantan,437.0
228,Male,70-74,2001,Melaka,277.0
229,Male,70-74,2001,Negeri Sembilan,331.0
230,Male,70-74,2001,Pulau Pinang,490.0
231,Male,70-74,2001,Pahang,271.0
232,Male,70-74,2001,Perak,926.0
233,Male,70-74,2001,Perlis,98.0
234,Male,70-74,2001,Sabah,0.0
235,Male,70-74,2001,Sarawak,594.0
236,Male,70-74,2001,Selangor,766.0
237,Male,70-74,2001,Terengganu,262.0
238,Male,70-74,2001,W.P. Kuala Lumpur,341.0
239,Male,70-74,2001,W.P. Labuan,9.0
240,Male,75-79,2001,Johor,655.0
241,Male,75-79,2001,Kedah,506.0
242,Male,75-79,2001,Kelantan,443.0
243,Male,75-79,2001,Melaka,204.0
244,Male,75-79,2001,Negeri Sembilan,217.0
245,Male,75-79,2001,Pulau Pinang,432.0
246,Male,75-79,2001,Pahang,265.0
247,Male,75-79,2001,Perak,753.0
248,Male,75-79,2001,Perlis,92.0
249,Male,75-79,2001,Sabah,0.0
250,Male,75-79,2001,Sarawak,580.0
251,Male,75-79,2001,Selangor,574.0
252,Male,75-79,2001,Terengganu,255.0
253,Male,75-79,2001,W.P. Kuala Lumpur,277.0
254,Male,75-79,2001,W.P. Labuan,13.0
