State,Gender,Year,Values
Pahang,Female,2017,76.3
Perak,Female,2017,77.2
Perlis,Female,2017,74.8
Pulau Pinang,Female,2017,77.7
Sabah,Female,2017,76.3
Sarawak,Female,2017,78.2
Selangor,Female,2017,77.4
Terengganu,Female,2017,74.9
W.P. Kuala Lumpur,Female,2017,79.0
W.P. Labuan,Female,2017,78.7
W.P. Putrajaya,Female,2017,72.6
Malaysia,Total,2018,74.6
Johor,Total,2018,74.3
Kedah,Total,2018,73.1
Kelantan,Total,2018,72.4
Melaka,Total,2018,74.7
Negeri Sembilan,Total,2018,73.5
Pahang,Total,2018,73.6
Perak,Total,2018,74.0
Perlis,Total,2018,72.0
Pulau Pinang,Total,2018,75.2
Sabah,Total,2018,74.2
Sarawak,Total,2018,76.4
Selangor,Total,2018,75.4
Terengganu,Total,2018,72.1
W.P. Kuala Lumpur,Total,2018,76.7
W.P. Labuan,Total,2018,77.6
W.P. Putrajaya,Total,2018,73.3
Malaysia,Male,2018,72.3
Johor,Male,2018,72.0
Kedah,Male,2018,70.4
Kelantan,Male,2018,69.6
Melaka,Male,2018,72.0
Negeri Sembilan,Male,2018,70.6
Pahang,Male,2018,71.2
Perak,Male,2018,71.1
Perlis,Male,2018,69.2
Pulau Pinang,Male,2018,72.6
Sabah,Male,2018,72.6
Sarawak,Male,2018,74.6
Selangor,Male,2018,73.4
Terengganu,Male,2018,69.4
W.P. Kuala Lumpur,Male,2018,74.5
W.P. Labuan,Male,2018,76.2
W.P. Putrajaya,Male,2018,72.8
Malaysia,Female,2018,77.2
Johor,Female,2018,77.1
Kedah,Female,2018,76.2
Kelantan,Female,2018,75.5
Melaka,Female,2018,77.6
Negeri Sembilan,Female,2018,76.9
Pahang,Female,2018,76.4
Perak,Female,2018,77.3
Perlis,Female,2018,74.8
Pulau Pinang,Female,2018,78.0
Sabah,Female,2018,76.1
Sarawak,Female,2018,78.4
Selangor,Female,2018,77.7
Terengganu,Female,2018,75.2
W.P. Kuala Lumpur,Female,2018,79.3
W.P. Labuan,Female,2018,79.0
W.P. Putrajaya,Female,2018,73.5
Malaysia,Total,2019,74.8
Johor,Total,2019,74.4
Kedah,Total,2019,73.4
Kelantan,Total,2019,72.6
Melaka,Total,2019,74.9
Negeri Sembilan,Total,2019,73.8
Pahang,Total,2019,73.9
Perak,Total,2019,74.2
